"","param1","param2","param3","param4","param5","param6","output"
"5","vhigh","vhigh","2","2","med","med","unacc"
"6","vhigh","vhigh","2","2","med","high","unacc"
"8","vhigh","vhigh","2","2","big","med","unacc"
"10","vhigh","vhigh","2","4","small","low","unacc"
"20","vhigh","vhigh","2","more","small","med","unacc"
"23","vhigh","vhigh","2","more","med","med","unacc"
"24","vhigh","vhigh","2","more","med","high","unacc"
"25","vhigh","vhigh","2","more","big","low","unacc"
"28","vhigh","vhigh","3","2","small","low","unacc"
"32","vhigh","vhigh","3","2","med","med","unacc"
"35","vhigh","vhigh","3","2","big","med","unacc"
"36","vhigh","vhigh","3","2","big","high","unacc"
"39","vhigh","vhigh","3","4","small","high","unacc"
"40","vhigh","vhigh","3","4","med","low","unacc"
"49","vhigh","vhigh","3","more","med","low","unacc"
"54","vhigh","vhigh","3","more","big","high","unacc"
"74","vhigh","vhigh","4","more","small","med","unacc"
"81","vhigh","vhigh","4","more","big","high","unacc"
"83","vhigh","vhigh","5more","2","small","med","unacc"
"87","vhigh","vhigh","5more","2","med","high","unacc"
"90","vhigh","vhigh","5more","2","big","high","unacc"
"93","vhigh","vhigh","5more","4","small","high","unacc"
"95","vhigh","vhigh","5more","4","med","med","unacc"
"98","vhigh","vhigh","5more","4","big","med","unacc"
"100","vhigh","vhigh","5more","more","small","low","unacc"
"106","vhigh","vhigh","5more","more","big","low","unacc"
"108","vhigh","vhigh","5more","more","big","high","unacc"
"110","vhigh","high","2","2","small","med","unacc"
"114","vhigh","high","2","2","med","high","unacc"
"117","vhigh","high","2","2","big","high","unacc"
"122","vhigh","high","2","4","med","med","unacc"
"126","vhigh","high","2","4","big","high","acc"
"128","vhigh","high","2","more","small","med","unacc"
"134","vhigh","high","2","more","big","med","unacc"
"135","vhigh","high","2","more","big","high","unacc"
"136","vhigh","high","3","2","small","low","unacc"
"137","vhigh","high","3","2","small","med","unacc"
"140","vhigh","high","3","2","med","med","unacc"
"141","vhigh","high","3","2","med","high","unacc"
"145","vhigh","high","3","4","small","low","unacc"
"147","vhigh","high","3","4","small","high","unacc"
"149","vhigh","high","3","4","med","med","unacc"
"150","vhigh","high","3","4","med","high","acc"
"167","vhigh","high","4","2","med","med","unacc"
"172","vhigh","high","4","4","small","low","unacc"
"174","vhigh","high","4","4","small","high","unacc"
"189","vhigh","high","4","more","big","high","acc"
"192","vhigh","high","5more","2","small","high","unacc"
"193","vhigh","high","5more","2","med","low","unacc"
"197","vhigh","high","5more","2","big","med","unacc"
"200","vhigh","high","5more","4","small","med","unacc"
"202","vhigh","high","5more","4","med","low","unacc"
"208","vhigh","high","5more","more","small","low","unacc"
"218","vhigh","med","2","2","small","med","unacc"
"219","vhigh","med","2","2","small","high","unacc"
"227","vhigh","med","2","4","small","med","unacc"
"229","vhigh","med","2","4","med","low","unacc"
"230","vhigh","med","2","4","med","med","unacc"
"233","vhigh","med","2","4","big","med","unacc"
"240","vhigh","med","2","more","med","high","unacc"
"246","vhigh","med","3","2","small","high","unacc"
"250","vhigh","med","3","2","big","low","unacc"
"267","vhigh","med","3","more","med","high","acc"
"271","vhigh","med","4","2","small","low","unacc"
"272","vhigh","med","4","2","small","med","unacc"
"273","vhigh","med","4","2","small","high","unacc"
"274","vhigh","med","4","2","med","low","unacc"
"275","vhigh","med","4","2","med","med","unacc"
"283","vhigh","med","4","4","med","low","unacc"
"287","vhigh","med","4","4","big","med","acc"
"293","vhigh","med","4","more","med","med","unacc"
"294","vhigh","med","4","more","med","high","acc"
"295","vhigh","med","4","more","big","low","unacc"
"298","vhigh","med","5more","2","small","low","unacc"
